,name,obsid,ra,dec,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,uvw1_mag,uvw1_mag_err,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,uvw2_resid_frac,uvw2_saturated,uvw2_sss,uvw2_edge,uvm2_resid_frac,uvm2_saturated,uvm2_sss,uvm2_edge,uvw1_resid_frac,uvw1_saturated,uvw1_sss,uvw1_edge,mcps_flag,uvw2_key,uvw2_pix_x,uvw2_pix_y,uvm2_key,uvm2_pix_x,uvm2_pix_y,uvw1_key,uvw1_pix_x,uvw1_pix_y,Separation_in_as
47002,smc-obs40423-651,40423,14.277525,-72.60184,18.992551803588867,0.3082634508609772,18.75400924682617,0.3159838914871216,,,,,,,,,,,,,,,,,0.1275218880491818,0.0,1.0,1.0,0.0850381387753472,0.0,1.0,1.0,,,,,,8483.0,1006.7640870095466,654.3876823793543,8147.0,1012.233396456946,655.2429343228155,,,,22.8630574317008
47007,smc-obs40423-656,40423,14.278695,-72.60698000000002,16.00992774963379,0.0524843595921993,16.10106086730957,0.0602563135325908,16.317052841186527,0.0585828609764576,16.559,0.2339999999999999,17.276,0.026,17.34,0.0559999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2219121229985109,0.0,1.0,1.0,0.2433930817061361,0.0,1.0,1.0,0.251156803476107,0.0,1.0,1.0,0.0,8515.0,1005.4205900053256,635.9663473582239,8179.0,1010.8959640381184,636.8216606570733,8163.0,1011.0336448685512,635.3176378814143,32.34337253139145
47009,smc-obs40423-658,40423,14.278845,-72.6093,18.252065658569336,0.1651957184076309,18.20161247253418,0.1987260878086089,18.305320739746094,0.194441333413124,18.516,0.099,18.97,0.057,18.476,0.065,17.9,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.1699791063188581,0.0,1.0,1.0,0.2902705755960509,0.0,1.0,1.0,0.1208448134302772,0.0,1.0,1.0,10.0,8520.0,1005.2204056272832,627.6494886615802,8184.0,1010.6974910122324,628.504775661734,8168.0,1010.8280895694965,627.0056088810722,38.57363734703376
47013,smc-obs40423-662,40423,14.279355,-72.60546,18.81904411315918,0.2565824091434479,18.8567008972168,0.3415252566337585,,,,,,,,,,,,,,,,,0.5587164705666924,0.0,1.0,1.0,0.4737041572806245,0.0,1.0,1.0,,,,,,8535.0,1004.7384947633516,641.4192626163024,8199.0,1010.2139424434688,642.2747195670972,,,,29.525618175508818
47019,smc-obs40423-668,40423,14.27991,-72.59557,14.6962251663208,0.0441668704152107,14.871000289916992,0.0467268489301204,15.074156761169435,0.0455789156258106,15.549,0.057,16.625999999999998,0.05,16.699,0.034,16.937,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.1696155264443779,0.0,1.0,1.0,0.3083137135821019,0.0,1.0,1.0,0.3049130756600465,0.0,1.0,1.0,10.0,8556.0,1004.3140259886692,676.8781174372867,8220.0,1009.781225097504,677.7340215096317,8204.0,1009.9548220935288,676.2073335040001,31.712269069253576
47066,smc-obs40423-715,40423,14.28894,-72.59682,13.69604778289795,0.0422983095049858,13.771912574768065,0.0430435910820961,13.986351013183596,0.0426121242344379,14.577,0.03,15.42,0.081,15.416,0.089,15.380999999999998,0.079,15.455,0.055,15.278,0.109,15.453,0.1969999999999999,0.15609258969153,0.0,1.0,1.0,0.2605374548122838,0.0,1.0,1.0,0.2695499585809456,0.0,1.0,1.0,10.0,8821.0,994.6007578683798,672.4433691531648,8482.0,1000.0850627880571,673.3008266003752,8468.0,1000.262360511344,671.7832475963015,37.90630099790646
52426,smc-obs40423-6075,40423,14.233455,-72.60389,18.814836502075195,0.2434003949165344,,,,,,,,,,,,,,,,,,,0.1720502511599788,0.0,1.0,1.0,,,,,,,,,,7131.0,1054.0144134462437,646.7893030668263,,,,,,,27.02176342828858
52452,smc-obs40423-6101,40423,14.274435,-72.6049,18.786739349365234,0.2506139278411865,,,,,,,,,,,,,,,,,,,0.1731000467969919,0.0,1.0,1.0,,,,,,,,,,8394.0,1010.0261513235208,643.4008371297447,,,,,,,24.032250043704366
52453,smc-obs40423-6102,40423,14.274585,-72.60303,19.16293716430664,0.3488638401031494,,,,,,,,,,,,,,,,,,,0.2109707638932077,0.0,1.0,1.0,,,,,,,,,,8396.0,1009.897813600484,650.1058279326254,,,,,,,20.886656622961283
53408,smc-obs40423-7057,40423,14.271555,-72.60752,,,,,18.395811080932614,0.2075914293527603,17.05,0.043,17.04,0.026,16.313,0.03,15.789,0.03,14.995,0.037,14.798,0.069,14.582,0.103,,,,,,,,,0.1485701751231529,0.0,1.0,1.0,20.0,,,,,,,7957.0,1018.6631433625246,633.3383208887008,28.75318555357458
53412,smc-obs40423-7061,40423,14.29083,-72.60184,,,,,18.63423728942871,0.2544142007827759,16.963,0.052,16.726,0.0289999999999999,15.927,0.0289999999999999,15.18,0.0289999999999999,14.732,0.035,14.326,0.051,14.24,0.063,,,,,,,,,0.2174343022722133,0.0,1.0,1.0,10.0,,,,,,,8534.0,998.144542449412,653.8080341993675,37.092408779460825
