,galaxy,field,sub_field_index,ra_1,ra_2,dec_1,dec_2
156,lmc,LMC119,5,5:03:48.73,5:04:56.69,-69:01:31.5,-69:03:05.0
157,lmc,LMC119,6,5:03:48.98,5:04:56.26,-69:12:59.0,-69:14:04.1
158,lmc,LMC119,7,5:03:47.69,5:04:55.54,-69:20:17.8,-69:19:58.5
159,lmc,LMC119,8,5:03:48.02,5:04:56.07,-69:29:37.5,-69:28:48.5
160,lmc,LMC120,1,5:06:49.89,5:08:00.48,-70:07:29.3,-70:07:18.4
161,lmc,LMC120,2,5:06:50.22,5:07:58.97,-69:59:31.4,-69:57:16.5
162,lmc,LMC120,3,5:06:32.92,5:07:58.75,-69:47:09.2,-69:46:08.7
163,lmc,LMC120,4,5:06:46.73,5:07:56.41,-69:36:58.8,-69:40:06.5
164,lmc,LMC120,5,5:03:21.24,5:04:31.20,-69:37:05.7,-69:37:14.5
165,lmc,LMC120,6,5:03:21.29,5:04:30.06,-69:46:10.4,-69:46:01.2
166,lmc,LMC120,7,5:03:20.29,5:04:30.24,-69:56:12.4,-69:58:46.6
167,lmc,LMC120,8,5:03:19.03,5:04:30.13,-70:05:26.7,-70:05:41.1
168,lmc,LMC121,1,5:06:25.26,5:07:39.39,-70:43:00.2,-70:41:54.2
169,lmc,LMC121,2,5:06:26.09,5:07:38.96,-70:34:57.8,-70:30:34.4
170,lmc,LMC121,3,5:06:24.45,5:07:37.65,-70:21:58.2,-70:24:15.6
171,lmc,LMC121,4,5:06:24.52,5:07:35.55,-70:15:04.9,-70:15:34.2
172,lmc,LMC121,5,5:02:51.43,5:04:03.38,-70:15:14.8,-70:13:14.9
173,lmc,LMC121,6,5:02:50.98,5:04:02.56,-70:24:13.5,-70:21:54.3
174,lmc,LMC121,7,5:02:51.66,5:04:02.76,-70:33:57.7,-70:31:04.1
175,lmc,LMC121,8,5:02:49.52,5:04:02.46,-70:40:59.1,-70:41:03.6
176,lmc,LMC122,1,5:06:05.45,5:07:21.09,-71:15:52.4,-71:16:28.1
177,lmc,LMC122,2,5:06:03.66,5:07:18.13,-71:06:18.9,-71:09:48.7
178,lmc,LMC122,3,5:06:01.97,5:07:16.00,-70:58:43.1,-70:54:45.2
179,lmc,LMC122,4,5:06:02.43,5:07:14.42,-70:48:44.3,-70:45:51.1
180,lmc,LMC122,5,5:02:24.32,5:03:37.52,-70:50:37.5,-70:48:39.2
181,lmc,LMC122,6,5:02:22.44,5:03:38.10,-71:00:44.1,-70:53:39.1
182,lmc,LMC122,7,5:02:21.42,5:03:36.45,-71:09:26.0,-71:07:56.4
183,lmc,LMC122,8,5:02:20.54,5:03:36.61,-71:16:06.6,-71:10:41.9
184,lmc,LMC123,1,5:02:21.33,5:03:25.63,-67:04:32.8,-67:08:57.8
185,lmc,LMC123,2,5:02:20.71,5:03:23.24,-66:53:41.8,-66:53:03.7
186,lmc,LMC123,3,5:02:20.92,5:03:22.01,-66:50:56.1,-66:47:38.2
187,lmc,LMC123,4,5:02:19.89,5:03:20.91,-66:41:11.9,-66:39:34.8
