,ra,dec,photometry,distance_to_center
18005,8.053591639340112,-71.66107934772485,3149.0435576212403,115.73832693648194
18006,8.040127499788511,-71.66333440617719,3175.9731568617844,115.85287446619556
18007,12.758083955067871,-70.77200287985696,3181.893078935491,121.92707234204792
18008,12.745797530744282,-70.77457423078637,3204.089727334239,121.78742880111606
18009,12.733507895315798,-70.77714478508695,3226.1036743318514,121.64830355742369
18010,12.721215048631965,-70.77971454238374,3234.852114336437,121.50969840421023
18011,12.708918990543207,-70.78228350230178,3234.279760243774,121.3716151361958
18012,12.69661972090141,-70.78485166446605,3246.424840938778,121.23405554951458
18013,12.684317239559082,-70.78741902850147,3242.526007238752,121.09702144164834
18014,12.672011546370303,-70.78998559403303,3196.458552743341,120.96051461134802
18015,12.65970264118987,-70.7925513606855,3111.9855762756038,120.82453685857524
18016,12.647390523873934,-70.7951163280838,3019.930581255741,120.6890899844142
18017,12.635075194279564,-70.79768049585269,2947.8493981526376,120.55417579101426
18018,12.622756652265066,-70.80024386361691,2919.913563604755,120.41979608150751
18019,12.610434897689771,-70.80280643100124,2928.94564719189,120.28595265993548
18020,12.59810993041416,-70.80536819763039,2955.921696079219,120.15264733117414
18021,12.585781750299727,-70.80792916312889,2998.71191272058,120.01988190086428
18022,12.573450357209259,-70.81048932712152,3049.104854529706,119.88765817531687
18023,12.561115751006444,-70.81304868923276,3085.366565257862,119.75597796145951
18024,12.548777931556165,-70.81560724908715,3108.9424576431184,119.62484306674118
18025,11.702261629038178,-70.98768663958012,2865.425060881228,112.08520213427687
18026,11.689701833873869,-70.99018893509513,2928.0487311768966,111.99599642095943
18027,11.677138818834457,-70.99269040199118,3007.3155996562264,111.90745831075424
18028,11.664572583866729,-70.9951910398907,3068.6091640560435,111.81958940000524
18029,11.652003128918864,-70.99769084841596,3111.034536936233,111.73239127803704
18030,11.639430453939971,-71.00018982718936,3113.021096393215,111.64586552702018
18031,11.626854558880447,-71.00268797583311,3099.6963043433234,111.56001372186063
18032,11.614275443692126,-71.00518529396956,3123.7557763660243,111.47483743006366
18033,11.601693108327666,-71.00768178122098,3187.6628823607825,111.39033821161739
18034,11.589107552741247,-71.0101774372095,3223.749540098742,111.30651761887628
18035,11.576518776888143,-71.01267226155737,3164.022474419975,111.2233771964204
18036,11.563926780724739,-71.01516625388682,3087.518271291372,111.1409184809426
18037,11.55133156420882,-71.01765941381993,3030.7374970126248,111.05914300112838
18038,11.538733127299167,-71.02015174097887,3013.397449980683,110.9780522775216
18039,11.526131469955974,-71.02264323498571,3008.2595491293987,110.89764782241116
18040,11.513526592140524,-71.02513389546256,2991.156782725943,110.81793113969638
18041,11.50091849381539,-71.0276237220315,2946.390944987108,110.73890372477098
18042,11.488307174944326,-71.03011271431451,2884.7397831015296,110.66056706440204
18043,11.475692635492326,-71.03260087193367,2838.9266965560223,110.58292263659332
18044,11.463074875425487,-71.03508819451089,2862.890422102195,110.50597191047903
18045,11.45045389471131,-71.0375746816682,2915.40006364046,110.4297163461847
18046,11.437829693318363,-71.04006033302754,2956.7547569976805,110.35415739471313
18047,11.425202271216577,-71.04254514821079,2989.5111345007385,110.27929649782146
18048,11.41257162837701,-71.04502912683988,3018.444531044619,110.20513508789111
18049,11.399937764771936,-71.0475122685367,3030.6049601777595,110.13167458781248
18050,11.387300680374963,-71.04999457292308,3015.5251843250276,110.05891641085955
18051,11.374660375160785,-71.05247603962088,2984.179093948484,109.98686196056667
18052,11.362016849105364,-71.05495666825186,2980.450408946579,109.91551263061024
18053,9.007294245037784,-71.49208774647042,3511.273081091679,109.46162925421288
18054,8.994062239035667,-71.49440862728434,3485.9962703506635,109.52831193318215
18055,8.98082703004805,-71.49672860025427,3464.278261091232,109.59570965852768
18056,8.967588618300551,-71.49904766500096,3556.793863168421,109.66382111375003
18057,8.954347004019878,-71.50136582114514,3843.2348065691094,109.73264497163733
18058,8.941102187434375,-71.50368306830765,4366.711296179638,109.8021798943748
18059,8.927854168773788,-71.50599940610927,5119.934885499955,109.8724245336704
18060,8.742045821821137,-71.53833244011116,3352.465660942359,110.92959077676956
18061,8.728749800609293,-71.54063509200306,3333.2117265312645,111.01031261480901
18062,8.715450581199379,-71.54293682846854,3314.552055156405,111.09172127074439
18063,8.140562491957201,-71.64104012795782,3634.7399559503474,115.21954511801893
18064,8.127122825524912,-71.64330121072335,3440.669207993011,115.3295819137011
18065,8.113679973858268,-71.64556136102676,3295.2900978001176,115.44023121752872
18066,8.100233937280489,-71.64782057848984,3215.9594916489973,115.55149126909212
18067,8.086784716116227,-71.65007886273465,3189.425061752143,115.66336030501387
18068,8.073332310691871,-71.65233621338308,3181.474787787613,115.77583655906508
18069,8.05987672133504,-71.65459263005717,3168.990135044892,115.88891826227346
18070,8.046417948375268,-71.65684811237892,3157.9783451270846,116.00260364302063
18071,8.032955992143382,-71.65910265997039,3168.6091195657473,116.11689092715599
18072,8.019490852971938,-71.66135627245363,3195.2980598311133,116.23177833809504
18073,12.737960354329623,-70.77053551985838,3196.0324517658964,122.03869305901591
18074,12.725672206806781,-70.77310553286019,3227.8858613080115,121.89985737878371
18075,12.71338084979583,-70.77567474890903,3250.842335026311,121.76154136789481
18076,12.701086283148136,-70.77824316763012,3266.4903905457277,121.62374681220075
